as_of,horizon,mae,signed_error,coverage
2024-04-25,30,3.8377761840820312,3.8377761840820312,1.0
2024-04-25,60,7.3205108642578125,7.3205108642578125,1.0
2024-04-25,90,4.950874328613281,4.950874328613281,1.0
2024-05-23,30,10.845558166503906,10.845558166503906,0.0
2024-05-23,60,6.7884979248046875,6.7884979248046875,1.0
2024-05-23,90,1.312591552734375,1.312591552734375,1.0
2024-06-24,30,1.107818603515625,1.107818603515625,1.0
2024-06-24,60,3.226470947265625,-3.226470947265625,1.0
2024-06-24,90,2.6938629150390625,-2.6938629150390625,1.0
2024-07-23,30,0.22669219970703125,-0.22669219970703125,1.0
2024-07-23,60,0.1719970703125,0.1719970703125,1.0
2024-07-23,90,2.1513290405273438,-2.1513290405273438,1.0
2024-08-20,30,6.786933898925781,-6.786933898925781,1.0
2024-08-20,60,1.8659439086914062,-1.8659439086914062,1.0
2024-08-20,90,1.4092025756835938,-1.4092025756835938,1.0
2024-09-18,30,1.5336151123046875,-1.5336151123046875,1.0
2024-09-18,60,0.5547103881835938,-0.5547103881835938,1.0
2024-09-18,90,3.1067047119140625,3.1067047119140625,1.0
2024-10-16,30,1.7113494873046875,-1.7113494873046875,1.0
2024-10-16,60,5.421867370605469,5.421867370605469,1.0
2024-10-16,90,6.673164367675781,6.673164367675781,1.0
2024-11-13,30,0.835418701171875,0.835418701171875,1.0
2024-11-13,60,3.3168106079101562,3.3168106079101562,1.0
2024-11-13,90,4.616523742675781,4.616523742675781,1.0
2024-12-12,30,3.0664901733398438,3.0664901733398438,1.0
2024-12-12,60,4.693473815917969,4.693473815917969,1.0
2024-12-12,90,2.2203826904296875,2.2203826904296875,1.0
2025-01-13,30,1.3530654907226562,1.3530654907226562,1.0
2025-01-13,60,1.7315826416015625,1.7315826416015625,1.0
2025-01-13,90,1.4118270874023438,1.4118270874023438,1.0
2025-02-11,30,0.5146942138671875,0.5146942138671875,1.0
2025-02-11,60,4.957794189453125,-4.957794189453125,1.0
2025-02-11,90,1.9731674194335938,1.9731674194335938,1.0
2025-03-12,30,2.423431396484375,-2.423431396484375,1.0
2025-03-12,60,1.4347686767578125,1.4347686767578125,1.0
2025-03-12,90,0.32007598876953125,-0.32007598876953125,1.0
2025-04-09,30,0.25072479248046875,0.25072479248046875,1.0
2025-04-09,60,1.1267318725585938,1.1267318725585938,1.0
2025-04-09,90,0.7276687622070312,0.7276687622070312,1.0
2025-05-08,30,5.471702575683594,5.471702575683594,1.0
2025-05-08,60,5.1526641845703125,5.1526641845703125,1.0
2025-05-08,90,4.426338195800781,4.426338195800781,1.0
2025-06-06,30,1.6593399047851562,-1.6593399047851562,1.0
2025-06-06,60,1.0497665405273438,1.0497665405273438,1.0
2025-06-06,90,2.966869354248047,2.966869354248047,1.0
2025-07-07,30,1.0685577392578125,1.0685577392578125,1.0
2025-07-07,60,4.588581085205078,4.588581085205078,1.0
2025-07-07,90,3.7538833618164062,3.7538833618164062,1.0
2025-08-04,30,0.5202484130859375,0.5202484130859375,1.0
2025-08-04,60,1.6353607177734375,1.6353607177734375,1.0
2025-08-04,90,2.4423828125,2.4423828125,1.0
2025-09-02,30,2.290447235107422,2.290447235107422,1.0
2025-09-02,60,4.639820098876953,4.639820098876953,1.0
2025-09-02,90,1.6256942749023438,1.6256942749023438,1.0
2025-09-30,30,0.4261627197265625,-0.4261627197265625,1.0
2025-09-30,60,0.084564208984375,-0.084564208984375,1.0
2025-09-30,90,3.150257110595703,3.150257110595703,1.0
2025-10-28,30,1.0489654541015625,1.0489654541015625,1.0
2025-10-28,60,1.2235755920410156,1.2235755920410156,1.0
2025-10-28,90,1.3034629821777344,1.3034629821777344,1.0
