date,median,q10,q25,q75,q90
2026-03-23,61.080833,59.706207,60.426056,61.68872,62.326263
2026-03-24,60.98713,59.4115,60.145218,61.83471,62.73977
2026-03-25,60.995842,59.059208,59.970802,61.998962,63.04721
2026-03-26,61.1877,58.911266,59.96974,62.39856,63.58812
2026-03-27,61.227966,58.731747,59.91945,62.62285,63.96718
2026-03-30,61.325592,58.51566,59.85231,62.804184,64.249725
2026-03-31,61.3705,58.37914,59.791443,62.975105,64.54468
2026-04-01,61.325264,58.179966,59.654472,63.08127,64.7495
2026-04-02,61.2703,57.95153,59.53636,63.09382,64.91817
2026-04-03,61.32656,57.862522,59.50045,63.156746,65.029816
2026-04-06,61.341072,57.64928,59.408882,63.364914,65.39289
2026-04-07,61.350815,57.586464,59.33551,63.412964,65.42509
2026-04-08,61.416634,57.5581,59.362206,63.570435,65.60031
2026-04-09,61.48948,57.39497,59.319,63.76523,66.04377
2026-04-10,61.502823,57.38559,59.348755,63.828697,66.17055
2026-04-13,61.66295,57.33451,59.385582,64.114365,66.57016
2026-04-14,61.474045,56.90899,59.008404,64.05913,66.75485
2026-04-15,61.48368,56.796024,58.933475,64.13115,66.87323
2026-04-16,61.50492,56.724773,58.961697,64.07875,66.81969
2026-04-17,61.555946,56.712887,58.9854,64.2222,67.02032
2026-04-20,61.45656,56.670574,58.877766,64.190674,67.15087
2026-04-21,61.514465,56.574482,58.892506,64.27955,67.26881
2026-04-22,61.510605,56.472126,58.84406,64.29382,67.31098
2026-04-23,61.464302,56.426037,58.77251,64.37728,67.51366
2026-04-24,61.38875,56.292706,58.68973,64.31476,67.422585
2026-04-27,61.410202,56.264877,58.65729,64.27665,67.38217
2026-04-28,61.372467,56.20586,58.64056,64.37546,67.57279
2026-04-29,61.38376,56.15807,58.561268,64.452965,67.72617
2026-04-30,61.376465,56.107674,58.520344,64.553,67.85138
2026-05-01,61.347374,55.972492,58.45428,64.550354,67.92883
2026-05-04,61.33693,56.027477,58.49246,64.52405,67.92142
2026-05-05,61.38994,55.96558,58.47521,64.67355,68.206535
2026-05-06,61.33448,55.817688,58.32475,64.68004,68.28491
2026-05-07,61.305214,55.76215,58.28313,64.67523,68.40662
2026-05-08,61.325325,55.7158,58.293934,64.66337,68.39765
2026-05-11,61.37584,55.713604,58.30855,64.78423,68.57256
2026-05-12,61.307243,55.658794,58.23897,64.69688,68.56638
2026-05-13,61.393913,55.63933,58.308743,64.85169,68.789604
2026-05-14,61.41868,55.66334,58.314457,64.88591,68.78078
2026-05-15,61.45922,55.65666,58.328876,65.01566,69.001335
2026-05-18,61.473618,55.576435,58.328754,65.06387,69.02262
2026-05-19,61.55268,55.60361,58.339657,65.03597,68.93757
2026-05-20,61.51651,55.605762,58.38178,65.09189,69.06644
2026-05-21,61.540245,55.59482,58.319378,65.19508,69.23827
2026-05-22,61.545044,55.552982,58.282215,65.26347,69.290405
2026-05-25,61.54171,55.416718,58.225933,65.298035,69.39313
2026-05-26,61.518982,55.494328,58.270184,65.22572,69.32178
2026-05-27,61.554077,55.41637,58.24091,65.35681,69.59076
2026-05-28,61.345024,55.21053,57.989964,65.19151,69.44843
2026-05-29,61.32995,55.14407,57.961437,65.21059,69.64916
2026-06-01,61.352394,55.123863,57.974884,65.19857,69.60973
2026-06-02,61.46827,55.125217,58.017513,65.42293,69.93057
2026-06-03,61.409065,55.060123,57.93904,65.363945,69.924164
2026-06-04,61.437668,55.021008,57.98348,65.42293,70.06735
2026-06-05,61.453026,55.03577,57.96897,65.47475,70.09797
2026-06-08,61.455963,54.998837,57.94797,65.542564,70.277824
2026-06-09,61.398773,54.86006,57.90278,65.54697,70.20916
2026-06-10,61.413956,54.814053,57.824364,65.452255,70.06963
2026-06-11,61.346382,54.77447,57.856876,65.42973,70.098236
2026-06-12,61.295395,54.728596,57.723965,65.468445,70.22257
2026-06-15,61.283707,54.670734,57.679638,65.502525,70.229095
2026-06-16,61.282364,54.52405,57.615456,65.55009,70.32716
2026-06-17,61.28479,54.67615,57.702194,65.48956,70.236725
2026-06-18,61.31881,54.68664,57.723877,65.59554,70.463875
2026-06-19,61.05561,54.443913,57.479115,65.28374,70.09209
2026-06-22,61.01259,54.521774,57.551586,65.1647,70.12814
2026-06-23,61.006134,54.56165,57.520267,65.14746,70.05783
2026-06-24,61.12229,54.5862,57.537113,65.31442,70.231926
2026-06-25,61.097633,54.52623,57.484623,65.24768,70.135086
2026-06-26,61.11898,54.488903,57.50887,65.271835,70.26974
2026-06-29,61.136703,54.47531,57.47073,65.3444,70.2112
2026-06-30,61.129745,54.3903,57.428616,65.38249,70.32619
2026-07-01,61.105858,54.367725,57.432148,65.454506,70.194916
2026-07-02,61.144905,54.382698,57.407696,65.39662,70.11983
2026-07-03,61.11515,54.422955,57.522892,65.3304,70.11217
2026-07-06,61.103836,54.411823,57.441887,65.38677,70.318275
2026-07-07,61.10131,54.39066,57.3908,65.44871,70.388374
2026-07-08,61.09722,54.268414,57.339523,65.48979,70.43415
2026-07-09,61.107254,54.4425,57.44823,65.41079,70.291794
2026-07-10,61.129524,54.415043,57.458332,65.496735,70.47453
2026-07-13,61.01706,54.325207,57.274647,65.5509,70.55424
2026-07-14,60.986298,54.28613,57.289692,65.457535,70.73668
2026-07-15,60.954025,54.2609,57.229687,65.445854,70.62657
2026-07-16,61.015343,54.26353,57.238537,65.562096,70.70249
2026-07-17,61.002296,54.240604,57.20521,65.579094,70.71927
2026-07-20,61.002136,54.22591,57.234856,65.52604,70.82463
2026-07-21,61.01024,54.279984,57.235756,65.54183,70.73389
2026-07-22,61.040543,54.237453,57.242027,65.54089,70.8567
2026-07-23,61.029823,54.2008,57.252556,65.6483,70.90178
2026-07-24,61.090805,54.249165,57.245327,65.59863,70.811905
