date,median,q10,q90
2026-03-24,-0.47954008,-0.6468682,-0.29610857
2026-03-25,-0.43401316,-0.6437342,-0.20444205
2026-03-26,-0.42086518,-0.66795945,-0.13559324
2026-03-27,-0.38526163,-0.68333864,-0.059282403
2026-03-30,-0.38040817,-0.7543596,0.022360515
2026-03-31,-0.36912602,-0.78741944,0.095049895
2026-04-01,-0.34562424,-0.8312779,0.1815217
2026-04-02,-0.3002695,-0.8557484,0.31654593
2026-04-03,-0.2725493,-0.8640845,0.39347616
2026-04-06,-0.2555072,-0.90915847,0.42676187
2026-04-07,-0.26478514,-0.9078186,0.45761484
2026-04-08,-0.24827439,-0.98068935,0.5402059
2026-04-09,-0.30000353,-1.0051368,0.52877086
2026-04-10,-0.3246667,-1.0797782,0.58555984
2026-04-13,-0.27226543,-1.1496942,0.6789531
2026-04-14,-0.25461704,-1.1283691,0.6835052
2026-04-15,-0.24705583,-1.0192925,0.716662
2026-04-16,-0.24663544,-1.0910695,0.7778447
2026-04-17,-0.26612172,-1.1216109,0.7777511
2026-04-20,-0.26498002,-1.148888,0.8432081
2026-04-21,-0.256787,-1.192651,0.9186461
2026-04-22,-0.23557284,-1.220332,1.0360677
2026-04-23,-0.20851958,-1.2623836,1.1757637
2026-04-24,-0.21877515,-1.2946689,1.3250338
2026-04-27,-0.19860503,-1.3221823,1.3584598
2026-04-28,-0.24221808,-1.2888193,1.3422707
2026-04-29,-0.23050424,-1.2579266,1.4208344
2026-04-30,-0.1713677,-1.3649863,1.6986374
2026-05-01,-0.19585511,-1.4045792,1.8300451
2026-05-04,-0.2438432,-1.4284186,1.9927869
2026-05-05,-0.21827175,-1.4464253,1.8999611
2026-05-06,-0.14193563,-1.4682691,1.9580028
2026-05-07,-0.18627712,-1.25527,2.1786294
2026-05-08,-0.20507221,-1.2857652,2.2548573
2026-05-11,-0.20086621,-1.2707238,2.4162185
2026-05-12,-0.16192885,-1.3015392,2.7464201
2026-05-13,-0.18688603,-1.3401173,2.7784758
2026-05-14,-0.183618,-1.3483192,2.8636086
2026-05-15,-0.17129989,-1.3586392,2.7672698
2026-05-18,-0.16596414,-1.3786929,3.0271642
2026-05-19,-0.15540303,-1.3530248,2.8964798
2026-05-20,-0.17282853,-1.3311311,2.8563182
2026-05-21,-0.19635832,-1.3332968,2.8698485
2026-05-22,-0.18252683,-1.4014156,2.9520357
2026-05-25,-0.1967218,-1.4173306,3.1123626
2026-05-26,-0.1990326,-1.4233271,3.1551147
2026-05-27,-0.18242039,-1.4064786,3.0134292
2026-05-28,-0.13397524,-1.379988,2.9252713
2026-05-29,-0.13171995,-1.3029908,2.2753534
2026-06-01,-0.18095411,-1.355425,2.2923908
2026-06-02,-0.18111908,-1.3506846,2.3061054
2026-06-03,-0.14777347,-1.3642495,2.4896138
2026-06-04,-0.185247,-1.422321,2.5368829
2026-06-05,-0.20568548,-1.4286385,2.4735906
2026-06-08,-0.21905978,-1.4616369,2.390919
2026-06-09,-0.22046325,-1.5050386,2.620792
2026-06-10,-0.23217677,-1.4616942,2.4598532
2026-06-11,-0.25701797,-1.444992,2.397379
2026-06-12,-0.28909498,-1.4503415,2.3572521
2026-06-15,-0.2823944,-1.5012923,2.349278
2026-06-16,-0.30985177,-1.4949087,2.368761
2026-06-17,-0.32124898,-1.524946,2.4113915
2026-06-18,-0.3214219,-1.5086501,2.3354778
2026-06-19,-0.31476375,-1.4852676,2.2431715
2026-06-22,-0.27779678,-1.4214737,1.8840215
2026-06-23,-0.32170105,-1.4587239,1.8850085
2026-06-24,-0.32782137,-1.456243,1.9442221
2026-06-25,-0.31274498,-1.4939907,2.0891862
2026-06-26,-0.32694915,-1.5352623,2.135688
2026-06-29,-0.3346505,-1.5557616,2.1065729
2026-06-30,-0.3302391,-1.579999,2.0498312
2026-07-01,-0.3294406,-1.6075699,2.2664232
2026-07-02,-0.3409862,-1.5457647,2.1647582
2026-07-03,-0.34959796,-1.5042448,2.099034
2026-07-06,-0.3601485,-1.5020877,2.1032202
2026-07-07,-0.33947483,-1.5512336,2.217116
2026-07-08,-0.3446331,-1.5329794,2.265862
2026-07-09,-0.36541504,-1.5500892,2.298456
2026-07-10,-0.35644174,-1.5452611,2.2548141
2026-07-13,-0.33295077,-1.5120504,2.1751788
2026-07-14,-0.3293372,-1.4052596,1.6185658
2026-07-15,-0.33902624,-1.4228504,1.6162597
2026-07-16,-0.35330126,-1.4093677,1.6461191
2026-07-17,-0.3190318,-1.4406338,1.8145027
2026-07-20,-0.3469954,-1.4832805,1.806954
2026-07-21,-0.35658267,-1.4776715,1.8231297
2026-07-22,-0.34846047,-1.5109953,1.7978252
2026-07-23,-0.3396012,-1.5108293,1.9948329
2026-07-24,-0.35042185,-1.4976774,1.966091
2026-07-27,-0.36712104,-1.4872539,1.869423
