date,median,q10,q90
2026-03-24,0.002965514,0.0029428715,0.0029836404
2026-03-25,0.0029695123,0.0029459575,0.0029875296
2026-03-26,0.0029723127,0.00295016,0.002992118
2026-03-27,0.0029704515,0.0029541678,0.0029960272
2026-03-30,0.0029739114,0.0029554032,0.0029984787
2026-03-31,0.0029735942,0.002954697,0.00300232
2026-04-01,0.002977633,0.0029561096,0.0030038424
2026-04-02,0.0029842025,0.0029590598,0.0030112728
2026-04-03,0.002990909,0.0029638289,0.003009655
2026-04-06,0.0029889368,0.0029652002,0.0030143172
2026-04-07,0.0029878863,0.002956043,0.0030109105
2026-04-08,0.0029863412,0.0029567399,0.003011014
2026-04-09,0.0029761302,0.002950658,0.0030060273
2026-04-10,0.0029775212,0.002946463,0.003002884
2026-04-13,0.0029769277,0.0029419744,0.0030019959
2026-04-14,0.0029695043,0.0029408955,0.0030052552
2026-04-15,0.0029771572,0.0029486455,0.0030043838
2026-04-16,0.0029733963,0.0029460057,0.0029980424
2026-04-17,0.0029692343,0.0029413695,0.0029939525
2026-04-20,0.0029594977,0.0029372226,0.0029910337
2026-04-21,0.0029555024,0.0029321911,0.0029860502
2026-04-22,0.0029471607,0.0029210257,0.0029786592
2026-04-23,0.002941969,0.0029153833,0.0029709635
2026-04-24,0.0029430166,0.0029119004,0.00297206
2026-04-27,0.0029387057,0.0029068233,0.0029619627
2026-04-28,0.0029302659,0.0029010233,0.0029577997
2026-04-29,0.0029217768,0.002885254,0.0029468543
2026-04-30,0.0029128976,0.0028787176,0.0029384168
2026-05-01,0.002896178,0.002866444,0.0029259839
2026-05-04,0.0028913263,0.0028553882,0.0029180087
2026-05-05,0.0028827065,0.0028442398,0.0029087528
2026-05-06,0.0028719367,0.0028315769,0.0029113847
2026-05-07,0.0028780252,0.002843729,0.002908985
2026-05-08,0.002868981,0.0028391134,0.0028971361
2026-05-11,0.0028563181,0.0028243493,0.0028855181
2026-05-12,0.002843007,0.002812869,0.0028757052
2026-05-13,0.0028320404,0.0028054595,0.0028659522
2026-05-14,0.002819416,0.0027858391,0.00285158
2026-05-15,0.0028058745,0.00277417,0.002836093
2026-05-18,0.0028006635,0.0027663112,0.002831314
2026-05-19,0.00278576,0.0027509748,0.002814238
2026-05-20,0.0027744586,0.0027382053,0.0028008367
2026-05-21,0.00275791,0.0027202703,0.0027848906
2026-05-22,0.0027439801,0.0027077943,0.0027761436
2026-05-25,0.002721337,0.0026854372,0.0027548214
2026-05-26,0.0027074069,0.0026705412,0.0027392646
2026-05-27,0.0026943744,0.002651735,0.002724065
2026-05-28,0.0026835345,0.002641067,0.0027170714
2026-05-29,0.0026628128,0.0026259506,0.002690494
2026-06-01,0.0026509115,0.0026174264,0.002677649
2026-06-02,0.0026314487,0.0025967828,0.0026569765
2026-06-03,0.0026173955,0.002578103,0.0026405677
2026-06-04,0.00259333,0.0025648223,0.0026290528
2026-06-05,0.0025734396,0.0025392028,0.0026061712
2026-06-08,0.0025540858,0.0025196741,0.002587189
2026-06-09,0.00254387,0.0025122582,0.0025769025
2026-06-10,0.0025242062,0.0024890283,0.0025563543
2026-06-11,0.0025043462,0.0024697997,0.0025327643
2026-06-12,0.0024841086,0.0024445888,0.0025153006
2026-06-15,0.0024623417,0.002424888,0.002498113
2026-06-16,0.0024447704,0.0024056477,0.0024744635
2026-06-17,0.0024224347,0.0023770097,0.0024619761
2026-06-18,0.0024033156,0.0023559763,0.0024366234
2026-06-19,0.0023864661,0.0023420686,0.0024203842
2026-06-22,0.0023796086,0.0023376818,0.00241242
2026-06-23,0.0023580946,0.0023162568,0.0023942508
2026-06-24,0.002333763,0.002297928,0.0023654825
2026-06-25,0.002314398,0.0022766646,0.002352853
2026-06-26,0.0022901646,0.0022502174,0.0023302184
2026-06-29,0.0022641565,0.0022278149,0.0023039535
2026-06-30,0.0022424145,0.0021992347,0.002277902
2026-07-01,0.0022258083,0.0021836993,0.0022572721
2026-07-02,0.0022001767,0.002154789,0.002236481
2026-07-03,0.0021767851,0.0021316572,0.002210609
2026-07-06,0.0021550728,0.0021116755,0.0021884297
2026-07-07,0.0021346486,0.0020930595,0.0021644456
2026-07-08,0.0021131376,0.0020660725,0.0021455553
2026-07-09,0.0020858138,0.0020331992,0.0021285862
2026-07-10,0.0020624765,0.0020137117,0.0021042868
2026-07-13,0.002045249,0.001995119,0.0020847018
2026-07-14,0.0020059561,0.0019658885,0.0020466591
2026-07-15,0.0019833809,0.0019440666,0.0020264764
2026-07-16,0.0019571024,0.0019124057,0.0019971202
2026-07-17,0.0019429005,0.0018915616,0.001982954
2026-07-20,0.0019105073,0.0018632174,0.0019533501
2026-07-21,0.0018885823,0.0018321741,0.0019288772
2026-07-22,0.001859349,0.001814931,0.0019028593
2026-07-23,0.0018441502,0.0017959914,0.0018851587
2026-07-24,0.0018184101,0.0017664203,0.001857182
2026-07-27,0.001793833,0.0017477205,0.0018296986
